File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate,amazon_transcription,deepspeech_transcription,deepspeech_ConfidenceLevel,google_transcription,google_ConfidenceLevel,IBMWatson_transcription,IBMWatson_ConfidenceLevel,microsoft_transcription
ATL_se0_ag1_f_01_1,87,ATL_int_01,96.7672,100.1664,3.3992,"if you didn't know already, my name is RD-NAME-3 and I will be,",1,0,1.834382958,1.75,7.0,15,4.412803012,You didn't Know already My name then I will be.,now ready will be,-62.46075439,"Already, my name is and I will be.",0.922924161,and I will be ,0.79,You didn't know already. My name is.
ATL_se0_ag1_f_01_1,155,ATL_se0_ag1_f_01,185.7506,186.7555,1.0049,It might be twenty-,1,0,9.698495056,9.65,8.25,5,4.975619465,It might be 20.,we ,-17.95900917,20,0.89846921,and I need twenty ,0.56,It might be 20.
ATL_se0_ag1_f_01_1,164,ATL_se0_ag1_f_01,192.8547,195.102,2.2473,It wasn't as big as I thought it would be.,1,0,8.633984161,8.6,6.0,11,4.894762604,It wasn't as big as I thought it would be.,it wasn't as big as i thought it would be,-26.16633797,It wasn't as big as I thought it would be.,0.986223817,it wasn't as big as I thought it would be ,0.87,It wasn't as big as I thought it would be.
ATL_se0_ag1_f_01_1,394,ATL_se0_ag1_f_01,479.1324,480.9662,1.8338,It used to be so hot.,1,0,19.07620989,18.44,20.5,6,3.271894427,It needs to be so hot.,so it,-21.12182045,Any be so hot.,0.697392464,any hot ,0.61,So hot.
ATL_se0_ag1_f_01_1,479,ATL_int_01,586.6336,589.9149,3.2813,"You gotta be a certain type of individual to be a doctor, man.",2,0,9.255003741,8.24,9.0,20,6.095145217,A certain type of individual to be a doctor man.,tied,-59.89746475,,0.0,you got to be a certain time this is a B. and %HESITATION ,0.69,Certain.
ATL_se0_ag1_f_01_1,480,ATL_se0_ag1_f_01,590.2827,594.1122,3.8295,Yeah. And I had- My major was gonna be nursing.,1,0,12.08579911,11.91,5.0,13,3.394699047,Yeah and I had my major was going to be nursing.,and i had my major was going to be nursing,-49.47524643,"Yeah, and I had my major was going to be nursing.",0.982158244,yeah and I head my major was gonna be nursing ,0.76,"Yeah, and I had my major was gonna be nursing."
ATL_se0_ag1_f_01_1,510,ATL_int_01,632.669,635.0571,2.3881,I knew it was gonna be math. The way you talk about m-,1,0,16.80942623,16.5,21.0,15,6.281144006,"No, not just because of money.",magloire,-48.79373932,,0.0,not just because the money ,0.49,Not just because.
ATL_se0_ag1_f_01_1,554,ATL_int_01,707.8635,710.0301,2.1666,The two-thousands finna be considered old.,1,0,12.7903729,11.82,14.0,8,3.692421305,2000 can be considered old.,and,-18.58198547,Mm.,0.570361376,two thousand because ,0.68,2000
ATL_se0_ag1_f_01_1,564,ATL_se0_ag1_f_01,721.2982,722.545,1.2468,is finna be twenty-one.,1,0,10.4293244,9.47,5.0,4,3.208213025,It's gonna be 21.,,-17.61824036,Infinity 21.,0.736303806,,0.0,It's gonna be.
ATL_se0_ag1_f_01_1,566,ATL_se0_ag1_f_01,724.8455,727.3975,2.552,RD-NAME-3 is about to be twenty-one in a little while.,1,0,5.112267029,4.39,2.75,10,3.918495298,Is about to be 21 in a little while.,that was one way in amity,-57.14240646,,0.0,that is one one ,0.58,In a little while.
